Altitude (ft),TAS (kts),Cruise Thrust (N)
32000,330,54449.79980293935
32000,340,54212.155539409025
32000,350,53979.52043890267
32000,360,53751.597178316864
32000,370,53528.11373602336
32000,380,53308.82062209998
32000,390,53093.48847578121
32000,400,52881.905973383786
32000,410,52673.87799991491
32000,420,52469.22404557993
32000,430,52267.77679488872
32000,440,52069.38088133412
32500,330,53603.835846953254
32500,340,53375.903866378896
32500,350,53152.979831999684
32500,360,52934.766492938164
32500,370,52720.99189364568
32500,380,52511.40660480632
32500,390,52305.781321371025
32500,400,52103.904770991394
32500,410,51905.58188607206
32500,420,51710.63220066796
32500,430,51518.88843993329
32500,440,51330.19527510264
33000,330,52755.5557624455
33000,340,52537.4226171182
33000,350,52324.29619605589
33000,360,52115.87932090981
33000,370,51911.90010248801
33000,380,51712.10917233484
33000,390,51516.27728135133
33000,400,51324.19320873914
33000,410,51135.66193449907
33000,420,50950.50303671939
33000,430,50768.54928136913
33000,440,50589.64537758278
33500,330,51904.950160577886
33500,340,51696.703514934576
33500,350,51493.462366480526
33500,360,51294.92960970109
33500,370,51100.83342204043
33500,380,50910.9244961595
33500,390,50724.97363914497
33500,400,50542.76968196567
33500,410,50364.11765241896
33500,420,50188.83717281194
33500,430,50016.76105010024
33500,440,49847.73403147797
34000,330,51052.009663735
34000,340,50853.738313451926
34000,350,50660.471228092014
34000,360,50471.91137528279
34000,370,50287.78699938642
34000,380,50107.84885443897
34000,390,49931.86780395038
34000,400,49759.63273087564
34000,410,49590.94871101086
34000,420,49425.635411069
34000,430,49263.525679165665
34000,440,49104.46430071551
34500,330,50196.72490801779
34500,340,50008.51879951684
34500,350,49825.315718437174
34500,360,49646.81870585932
34500,370,49472.756073347686
34500,380,49302.87863657429
34500,390,49136.95731571208
34500,400,48974.78104592307
34500,410,48816.15495120606
34500,420,48660.898742868514
34500,430,48508.84531036098
34500,440,48359.83947748099
35000,330,49339.0865458428
35000,340,49161.03679622143
35000,350,48987.98883123773
35000,360,48819.64576573869
35000,370,48655.73597877787
35000,380,48496.01034792621
35000,390,48340.23985026154
35000,400,48188.213473375705
35000,410,48039.73638967597
35000,420,47894.62835525464
35000,430,47752.722301073554
35000,440,47613.863089477
35500,330,48479.085248649746
35500,340,48311.28416604579
35500,350,48148.48361996754
35500,360,47990.38679934469
35500,370,47836.72215100928
35500,380,47687.2406146966
35500,390,47541.713224633386
35500,400,47399.92902106606
35500,410,47261.693225017865
35500,420,47126.82563755799
35500,430,46995.15923133756
35500,440,46866.53890741288
36000,330,47616.711709723466
36000,340,47459.252814126085
36000,350,47306.79320156683
36000,360,47159.03613537719
36000,370,47015.71013045962
36000,380,46876.566188981524
36000,390,46741.37540256456
36000,400,46609.926864336645
36000,410,46482.02584414634
36000,420,46357.49218823342
36000,430,46236.15891111785
36000,440,46117.87095273472
36500,330,46762.689199056054
36500,340,46615.601448573485
36500,350,46473.51275684048
36500,360,46336.12640050139
36500,370,46203.17090663862
36500,380,46074.39728859061
36500,390,45949.57664824885
36500,400,45828.498088203356
36500,410,45710.966887039125
36500,420,45596.80289907836
36500,430,45485.83914633273
36500,440,45377.920575693905
37000,330,45910.78551171817
37000,340,45774.063111525946
37000,350,45642.339770083294
37000,360,45515.31876403455
37000,370,45392.72862046212
37000,380,45274.320352704475
37000,390,45159.86506265305
37000,400,45049.151852897914
37000,410,44941.98600202404
37000,420,44838.18736435362
37000,430,44737.588961898335
37000,440,44640.03574154986
37500,330,45058.88182438027
37500,340,44932.5247744784
37500,350,44811.166783326094
37500,360,44694.511127567705
37500,370,44582.28633428562
37500,380,44474.24341681832
37500,390,44370.153477057254
37500,400,44269.805617592465
37500,410,44173.005117008935
37500,420,44079.57182962887
37500,430,43989.338777463934
37500,440,43902.150907405805
38000,330,44206.978137042366
38000,340,44090.986437430845
38000,350,43979.99379656889
38000,360,43873.70349110085
38000,370,43771.84404810912
38000,380,43674.16648093217
38000,390,43580.44189146144
38000,400,43490.45938228701
38000,410,43404.024231993826
38000,420,43320.95629490411
38000,430,43241.088593029526
38000,440,43164.266073261744
38500,330,43355.07444970447
38500,340,43249.448100383306
38500,350,43148.820809811696
38500,360,43052.89585463401
38500,370,42961.401761932626
38500,380,42874.08954504602
38500,390,42790.730305865654
38500,400,42711.11314698157
38500,410,42635.04334697873
38500,420,42562.340760179366
38500,430,42492.83840859513
38500,440,42426.3812391177
39000,330,42503.17076236658
39000,340,42407.90976333576
39000,350,42317.6478230545
39000,360,42232.08821816717
39000,370,42150.95947575613
39000,380,42074.01260915988
39000,390,42001.01872026986
39000,400,41931.76691167612
39000,410,41866.06246196364
39000,420,41803.72522545462
39000,430,41744.58822416073
39000,440,41688.49640497365
39500,330,41651.267075028685
39500,340,41566.37142628821
39500,350,41486.474836297304
39500,360,41411.28058170032
39500,370,41340.51718957963
39500,380,41273.93567327373
39500,390,41211.30713467406
39500,400,41152.42067637067
39500,410,41097.081576948534
39500,420,41045.10969072986
39500,430,40996.33803972633
39500,440,40950.6115708296
40000,330,40799.36338769079
40000,340,40724.833089240674
40000,350,40655.30184954011
40000,360,40590.47294523348
40000,370,40530.07490340314
40000,380,40473.858737387585
40000,390,40421.595549078265
40000,400,40373.07444106522
40000,410,40328.10069193344
40000,420,40286.49415600512
40000,430,40248.08785529193
40000,440,40212.72673668555
40500,330,39947.45970035289
40500,340,39883.29475219312
40500,350,39824.128862782905
40500,360,39769.66530876662
40500,370,39719.632617226634
40500,380,39673.78180150143
40500,390,39631.883963482454
40500,400,39593.72820575976
40500,410,39559.11980691833
40500,420,39527.87862128036
40500,430,39499.83767085752
40500,440,39474.84190254149
