Altitude (ft),TAS (kts),Climb Thrust (N)
500,180,122797.6721499932
500,190,120495.73268917298
500,200,118261.42143233409
500,210,116089.79027469827
500,220,113976.5348009411
500,230,111917.88080916893
500,240,109910.49506663927
1000,180,121622.6857325191
1000,190,119343.89154778168
1000,200,117132.40687624652
1000,210,114983.290985123
1000,220,112892.2468461249
1000,230,110855.507635299
1000,240,108869.74747141961
1500,180,120465.17415587192
1500,190,118209.07050445402
1500,200,116019.96178696922
1500,210,113892.91455522357
1500,220,111823.63908199454
1500,230,109808.37583640257
1500,240,107843.80620477539
2000,180,119325.0106749952
2000,190,117091.15113067385
2000,200,114923.97596880354
2000,210,112818.55893712914
2000,220,110770.61752239063
2000,230,108776.3994009193
2000,240,106832.59314176417
2500,180,118202.06844170824
2500,190,115990.01477855262
2500,200,113844.33889299446
2500,210,111760.12163884444
2500,220,109733.08762861995
2500,230,107759.49165904227
2500,240,105836.02939620827
3000,180,117096.22052103326
3000,190,114905.54259810525
3000,200,112780.93971589365
3000,210,110717.4997432331
3000,220,108710.95432919747
3000,230,106757.56530315649
3000,240,104854.03534177158
3500,180,116007.33990738915
3500,190,113837.61555439628
3500,200,111733.6672969895
3500,210,109690.58992687507
3500,220,107704.12203946708
3500,230,105770.53240816155
3500,240,103886.53063292181
4000,180,114935.29954065548
4000,190,112786.11444454941
4000,200,110702.41021680857
4000,210,108679.2884787958
4000,220,106712.4946810992
4000,230,104798.30445167421
4000,240,102933.43422577974
4500,180,113879.97232210007
4500,190,111750.91991463107
4500,200,109687.05679468991
4500,210,107683.49131906891
4500,220,105735.97570146258
4500,230,103840.79233411397
4500,240,101994.6643988545
5000,180,112841.23113017678
5000,190,110731.91247639593
5000,200,108687.49510642211
5000,210,106703.09401729093
5000,220,104774.46809287333
5000,230,102897.90639866304
5000,240,101070.1387736634
5500,180,111818.9488361887
5500,190,109728.97252390378
5500,200,107703.61300175617
5500,210,105737.99181092526
5500,220,103827.87441171723
5500,230,101969.5564511106
5500,240,100159.77433523406
6000,180,110812.99831981737
6000,190,108741.98035000179
6000,200,106735.29812178097
6000,210,104788.07962351954
6000,220,102896.09679744503
6000,230,101055.65177957046
6000,240,99263.4874524886
6500,180,109823.25248452055
6500,190,107770.81616267323
6500,200,105782.43791617012
6500,210,103853.25208279022
6500,220,101979.03699144353
6500,230,100156.10117407679
6500,240,98381.19389851156
7000,180,108849.58427279389
7000,190,106815.3601012542
7000,200,104844.91966029494
7000,210,102933.40353857838
7000,220,101076.59635577498
7000,230,99270.81294605751
7000,240,97512.80887069482
7500,180,107891.86668130194
7500,190,105875.49225251414
7500,200,103922.63047220533
7500,210,102028.428080674
7500,220,100188.67589179221
7500,230,98399.69494767957
7500,240,96658.24701076602
8000,180,106949.97277587197
8000,190,104951.09266660422
8000,200,103015.45732947692
8000,210,101138.21955650877
8000,220,99315.1762586214
8000,230,97542.65459107196
8000,240,95817.42242469099
8500,180,106023.7757063588
8500,190,104042.0413728736
8500,200,102123.28708592414
8500,210,100262.6715887175
8500,220,98455.99779151767
8500,230,96699.59886742034
8500,240,94990.24870245803
9000,180,105113.14872136942
9000,190,103148.2183955459
9000,200,101246.00648818212
9000,210,99401.67759256592
9000,220,97611.04052008949
9000,230,95870.43436593567
9000,240,94176.63893773597
9500,180,104217.9651828596
9500,190,102269.50376926627
9500,200,100383.50219215048
9500,210,98555.13079324631
9500,220,96780.204186393
9500,230,95055.06729269413
9500,240,93376.50574741105
10000,180,103338.09858059486
10000,190,101405.77755451319
10000,200,99535.66077930659
10000,210,97722.9242430407
10000,220,95963.38826289498
10000,230,94253.40348935008
10000,240,92589.76129099603
