Altitude (ft),TAS (kts),Takeoff Thrust (N)
0,110,186242.5988618854
0,120,183379.96782593196
0,130,180588.0710025731
0,140,177866.9083918089
0,150,175216.47999363934
0,160,172636.7858080644
500,110,184819.66695169045
500,120,182012.75918267027
500,130,179275.52148291658
500,140,176607.95385242932
500,150,174010.05629120854
500,160,171481.82879925423
1000,110,183333.79251725358
1000,120,180579.6883612721
1000,130,177894.20423358958
1000,140,175277.34013420617
1000,150,172729.09606312175
1000,160,170249.47202033637
1500,110,181789.5627840314
1500,120,179085.54785241548
1500,130,176449.11658275017
1500,140,173880.26897503555
1500,150,171379.0050292716
1500,160,168945.32474545832
2000,110,180191.3575610185
2000,120,177534.9108739682
2000,130,174945.0247564346
2000,140,172421.69920841773
2000,150,169964.93422991756
2000,160,167574.72982093412
2500,110,178543.35732412836
2500,120,175932.1400162055
2500,130,173386.4730841389
2500,140,170906.3565279286
2500,150,168491.79034757457
2500,160,166142.77454307684
3000,110,176849.5510110052
3000,120,174281.39557577495
3000,130,171777.79287052804
3000,140,169338.74289526438
3000,150,166964.24564998408
3000,160,164654.3011346871
3500,110,175113.74353674165
3500,120,172586.64358868194
3500,130,170123.1109443417
3500,140,167723.14560372086
3500,150,165386.7475668195
3500,160,163113.91683363763
4000,110,173339.56303968997
4000,120,170851.66357225573
4000,130,168426.3578952282
4000,140,166063.6460086073
4000,150,163763.52791239304
4000,160,161526.00360658544
4500,110,171530.46786628556
4500,120,169080.0559857646
4500,130,166691.27600892074
4500,140,164364.12793575402
4500,150,162098.61176626437
4500,160,159894.72750045182
5000,110,169689.75330352582
5000,120,167275.24941904822
5000,130,164921.42691084906
5000,140,162628.28577892832
5000,150,160395.82602328606
5000,160,158224.04764392224
5500,110,167820.5580674965
5500,120,165440.5075182629
5500,130,163120.19892798175
5500,140,160859.63229665306
5500,150,158658.80762427676
5500,160,156517.72491085294
6000,110,165925.87055607425
6000,120,163578.93565755017
6000,130,161290.81417839054
6000,140,159061.50611859537
6000,150,156891.01147816458
6000,160,154779.33025709825
6500,110,164008.53487369762
6500,120,161693.48736517868
6500,130,159436.33539774234
6500,140,157237.07897138852
6500,150,155095.71808611733
6500,160,153012.25274192868
7000,110,162071.25663584992
7000,120,159786.97051244348
7000,130,157559.67251164123
7000,140,155389.3626334431
7000,150,153276.04087784915
7000,160,151219.7072448593
7500,110,160116.60856067002
7500,120,157862.05327335617
7500,130,155663.58896246998
7500,140,153521.21562801153
7500,150,151434.93326998077
7500,160,149404.7418883778
8000,110,158147.03585487732
8000,120,155921.2698629109
8000,130,153750.70779911338
8000,140,151635.34966348487
8000,150,149575.1954560253
8000,160,147570.2451767347
8500,110,156164.86140097762
8500,120,153967.02606147312
8500,130,151823.51753768744
8500,140,149734.3358296206
8500,150,147699.48093727257
8500,160,145718.95286064336
9000,110,154172.29075250056
9000,120,152001.60453260195
9000,130,149884.3778011455
9000,140,147820.61055813113
9000,150,145810.30280355885
9000,160,143853.45453742868
9500,110,152171.4169438131
9500,120,150027.1699413936
9500,130,147935.5247453892
9500,140,145896.4813557999
9500,150,143910.03977262572
9500,160,141976.1999958666
10000,110,150164.225120846
10000,120,148045.7738802084
10000,130,145979.07627927128
10000,140,143964.13231803462
10000,150,142000.94199649844
10000,160,140089.5053146627
10500,110,148152.5969988791
10500,120,146059.3596084349
10500,130,144017.03708564898
10500,140,142025.6294305214
10500,150,140085.13664305213
10500,160,138195.55872324118
11000,110,146138.31515333254
11000,120,144069.76661272987
11000,130,142051.30345041864
11000,140,140082.92566639892
11000,150,138164.63326067073
11000,160,136296.426233234
11500,110,144123.06714933095
11500,120,142078.73499397648
11500,130,140083.66790624626
11500,140,138137.86588614027
11500,150,136241.32893365851
11500,160,134394.05704880098
12000,110,142108.4495156203
12000,120,140087.90968700033
12000,130,138115.8236974928
12000,140,136192.19154709764
12000,150,134317.0132358149
12000,160,132490.28876364464
12500,110,140095.97156824727
12500,120,138098.8445188967
12500,130,136149.36907263054
12500,140,134247.5452294489
12500,150,132393.37298935172
12500,160,130586.852352339
13000,110,138087.05908923328
13000,120,136113.00611163207
13000,130,134185.81141024223
13000,140,132305.47498506383
13000,150,130471.99683609688
13000,160,128685.37696334132
13500,110,136083.05786531506
13500,120,134131.7776344063
13500,130,132226.57118450257
13500,140,130367.43851560383
13500,150,128554.3796277101
13500,160,126787.39452082138
14000,110,134085.23709165654
14000,120,132156.46241108174
14000,130,130272.98577584964
14000,140,128434.80718596025
14000,150,126641.92664141358
14000,160,124894.34414220956
14500,110,132094.79264528537
14500,120,130188.28738782014
14500,130,128326.31313237341
14500,140,126508.86987894513
14500,150,124735.95762753535
14500,160,123007.57637814406
