flight_id,callsign,icao_address,flight_number,tail_number,aircraft_type_icao,aircraft_engine_type,origin_airport,destination_airport,first_waypoint_time,last_waypoint_time,duration_hours,total_distance_km,trajectory_complete
190112-7420-AA685,AA685,A1978F,,N201UU,B752,Jet,KDCA,KPHX,2019-01-12 02:31:16,2019-01-12 06:19:52,3.81,3173.13,True
190107-94368-AAL1034,AAL1034,AA305F,AA1034,N756AM,B772,Jet,KMIA,KDFW,2019-01-07 17:49:10,2019-01-07 20:00:54,2.2,1833.7,True
190113-39483-AAL1091,AAL1091,A46DE9,AA1091,N385AM,B763,Jet,TJSJ,KMIA,2019-01-13 15:08:57,2019-01-13 17:33:26,2.41,1726.69,True
190114-16636-AAL1109,AAL1109,A1682C,AA1109,N190AA,B752,Jet,KCLT,KMIA,2019-01-14 02:24:09,2019-01-14 03:53:22,1.49,1096.95,True
190110-31684-AAL112,AAL112,AA9F6F,AA112,N784AN,B772,Jet,KMIA,LEBL,2019-01-09 23:23:55,2019-01-10 07:51:00,8.45,7609.64,True
190107-95931-AAL1141,AAL1141,ABAC48,AA1141,N851NN,B738,Jet,KSNA,KDFW,2019-01-07 22:41:01,2019-01-08 01:05:31,2.41,1930.81,True
190108-79162-AAL1219,AAL1219,AABF80,AA1219,N792AN,B772,Jet,KDFW,KMIA,2019-01-08 23:14:04,2019-01-09 01:15:44,2.03,1826.36,True
190109-60479-AAL1227,AAL1227,ABCA00,AA1227,N859NN,B738,Jet,KBWI,KCLT,2019-01-09 15:30:21,2019-01-09 16:28:38,0.97,598.51,True
190108-77401-AAL126,AAL126,A9E167,AA126,N736AT,B77W,Jet,VHHH,KDFW,2019-01-08 08:15:17,2019-01-08 21:52:27,13.62,13866.62,True
190111-94427-AAL1263,AAL1263,ADC17B,AA1263,N986AN,A321,Jet,KDFW,KLGA,2019-01-11 13:59:55,2019-01-11 17:13:40,3.23,2364.88,True
190114-20090-AAL1294,AAL1294,AB034D,AA1294,N809AA,B788,Jet,KDFW,KORD,2019-01-14 03:00:12,2019-01-14 04:40:19,1.67,1342.0,True
190112-73258-AAL1365,AAL1365,AC754B,AA1365,N9010R,A319,Jet,KJAC,KDFW,2019-01-12 15:50:25,2019-01-12 18:01:10,2.18,1742.45,True
190109-60817-AAL1523,AAL1523,ABF17F,AA1523,N869NN,B738,Jet,KDFW,KPSP,2019-01-09 15:05:05,2019-01-09 17:52:18,2.79,1874.99,True
190110-91340-AAL1544,AAL1544,ADCCA0,AA1544,N989AN,B738,Jet,KSMF,KDFW,2019-01-10 14:15:12,2019-01-10 16:58:23,2.72,2321.06,True
190108-69393-AAL1571,AAL1571,A482CA,AA1571,N390AA,B763,Jet,KMIA,KJFK,2019-01-08 12:13:59,2019-01-08 14:30:21,2.27,1843.25,True
190110-82079-AAL1602,AAL1602,A95745,AA1602,N70020,A319,Jet,KEGE,KLAX,2019-01-10 22:15:22,2019-01-11 00:02:20,1.78,1255.19,True
190111-46300-AAL1604,AAL1604,AC7256,AA1604,N9006,A319,Jet,KSAT,KMIA,2019-01-11 12:07:53,2019-01-11 14:17:52,2.17,1880.53,True
190113-70780-AAL1674,AAL1674,A1314E,AA1674,N176UW,A321,Jet,KLAX,KCLT,2019-01-13 19:52:27,2019-01-13 23:55:27,4.05,3413.84,True
190111-76315-AAL1709,AAL1709,A10614,AA1709,N165US,A321,Jet,KCLT,KFLL,2019-01-11 20:26:30,2019-01-11 21:53:15,1.45,1118.25,True
190114-60995-AAL1710,AAL1710,A9942E,AA1710,N716UW,A319,Jet,KRDU,KPHL,2019-01-14 15:33:29,2019-01-14 16:30:43,0.95,576.89,True
190112-69658-AAL174,AAL174,AA944A,AA174,N781AN,B772,Jet,KRDU,EGLL,2019-01-12 00:36:25,2019-01-12 07:31:12,6.91,6313.69,True
190112-69270-AAL1745,AAL1745,AA6ADE,AA1745,N770UW,A319,Jet,KDCA,KTPA,2019-01-12 00:51:14,2019-01-12 02:33:57,1.71,1340.7,True
190109-93645-AAL182,AAL182,AB7613,AA182,N838AA,B789,Jet,ZSPD,KLAX,2019-01-09 11:05:11,2019-01-09 22:15:32,11.17,10675.56,True
190110-103666-AAL183,AAL183,AB6737,AA183,N834AA,B789,Jet,KLAX,ZSPD,2019-01-10 18:12:09,2019-01-11 07:33:03,13.35,10634.08,True
190111-90348-AAL1845,AAL1845,AB6394,AA1845,N833AW,A319,Jet,KFLL,KPHL,2019-01-11 19:02:44,2019-01-11 22:08:23,3.09,1998.17,True
190108-66860-AAL1848,AAL1848,A2EF81,AA1848,N289AY,A332,Jet,KMCO,KPHL,2019-01-08 21:57:03,2019-01-09 00:16:42,2.33,1623.28,True
190111-39631-AAL1849,AAL1849,A2FCFF,AA1849,N292AY,A332,Jet,KCLT,KMCO,2019-01-11 14:30:45,2019-01-11 15:38:37,1.13,819.95,True
190111-39491-AAL1881,AAL1881,A2C802,AA1881,N279AY,A332,Jet,KMCO,KPHL,2019-01-11 12:15:06,2019-01-11 14:21:05,2.1,1492.72,True
190114-54857-AAL1881,AAL1881,A300B6,AA1881,N293AY,A332,Jet,KMCO,KPHL,2019-01-14 12:03:20,2019-01-14 14:00:09,1.95,1504.59,True
190108-66954-AAL1919,AAL1919,A300B6,AA1919,N293AY,A332,Jet,KPHL,KMCO,2019-01-08 23:16:12,2019-01-09 01:21:16,2.08,1498.01,True
190109-57495-AAL1928,AAL1928,A9B43F,AA1928,N724UW,A319,Jet,KBNA,KCLT,2019-01-09 14:33:18,2019-01-09 15:21:22,0.8,581.73,True
190114-89709-AAL2019,AAL2019,AB2372,AA2019,N817AW,A319,Jet,KDFW,KPIT,2019-01-14 21:10:25,2019-01-14 23:17:32,2.12,1789.71,True
190110-28304-AAL206,AAL206,A4553B,AA206,N379AA,B763,Jet,KMIA,LIMC,2019-01-09 22:05:18,2019-01-10 07:51:02,9.76,8047.92,True
190114-62873-AAL2077,AAL2077,AB385E,AA2077,N822AW,A319,Jet,KCLT,KPIT,2019-01-14 15:18:01,2019-01-14 16:12:15,0.9,617.72,True
190107-95317-AAL2148,AAL2148,AB1C04,AA2148,N815AW,A319,Jet,KDCA,KBOS,2019-01-07 20:47:03,2019-01-07 21:51:05,1.07,712.25,True
