flight_id,longitude,latitude,altitude_ft,time,source,air_temperature,winds_u,winds_v,specific_humidity,geopotential,sdr,true_airspeed,segment_length
190107-10182-AZU2585,-43.9669,-19.6357,2721.0,2019-01-07 00:46:34,e,298.7662,-4.0409,-1.9128,0.0114226159,8578.246,0.0,85.188,3478.854
190107-10182-AZU2585,-43.9533,-19.6637,4683.102,2019-01-07 00:47:10,e,294.4329,-5.6101,-5.4039,0.0098905241,14810.338,0.0,92.666,6854.124
190107-10182-AZU2585,-43.9259,-19.7197,4750.0,2019-01-07 00:48:11,t,294.2271,-5.5602,-5.4742,0.0098727645,15021.626,0.0,104.031,3776.283
190107-10182-AZU2585,-43.9541,-19.6991,6491.667,2019-01-07 00:48:51,i,289.8877,-2.0197,-3.4861,0.0088359443,20543.928,0.0,115.204,3776.292
190107-10182-AZU2585,-43.9823,-19.6784,8233.333,2019-01-07 00:49:31,i,285.2528,-1.6839,-2.8133,0.008261097,26050.76,0.0,123.865,3776.733
190107-10182-AZU2585,-44.0104,-19.6577,9975.0,2019-01-07 00:50:11,t,282.2286,-2.1886,-3.9571,0.0052902073,31535.357,0.0,132.829,6294.149
190107-10182-AZU2585,-44.0308,-19.6046,11250.0,2019-01-07 00:50:51,i,279.9013,-3.5512,-4.3981,0.0037886671,35584.367,0.0,141.905,6294.186
190107-10182-AZU2585,-44.0511,-19.5514,12525.0,2019-01-07 00:51:31,i,277.2926,-4.8398,-4.5147,0.002885652,39616.953,0.0,150.703,6294.223
190107-10182-AZU2585,-44.0714,-19.4983,13800.0,2019-01-07 00:52:11,i,274.476,-6.1344,-4.4322,0.0023249214,43587.73,0.0,159.316,6294.259
190107-10182-AZU2585,-44.0917,-19.4451,15075.0,2019-01-07 00:52:51,i,271.8596,-6.849,-4.1882,0.0019004885,47661.406,0.0,167.092,6294.296
