,flight_id,longitude,latitude,altitude_ft,time,source,air_temperature,winds_u,winds_v,specific_humidity,geopotential,sdr,true_airspeed,segment_length
0,190107-10182-AZU2585,-43.9669,-19.6357,2721.0,2019-01-07 00:46:34,e,298.7662,-4.0409,-1.9128,0.0114226159,8578.246,0.0,85.188,3478.854
1,190107-10182-AZU2585,-43.9533,-19.6637,4683.102,2019-01-07 00:47:10,e,294.4329,-5.6101,-5.4039,0.0098905241,14810.338,0.0,92.666,6854.124
2,190107-10182-AZU2585,-43.9259,-19.7197,4750.0,2019-01-07 00:48:11,t,294.2271,-5.5602,-5.4742,0.0098727645,15021.626,0.0,104.031,3776.283
3,190107-10182-AZU2585,-43.9541,-19.6991,6491.667,2019-01-07 00:48:51,i,289.8877,-2.0197,-3.4861,0.0088359443,20543.928,0.0,115.204,3776.292
4,190107-10182-AZU2585,-43.9823,-19.6784,8233.333,2019-01-07 00:49:31,i,285.2528,-1.6839,-2.8133,0.008261097,26050.76,0.0,123.865,3776.733
5,190107-10182-AZU2585,-44.0104,-19.6577,9975.0,2019-01-07 00:50:11,t,282.2286,-2.1886,-3.9571,0.0052902073,31535.357,0.0,132.829,6294.149
6,190107-10182-AZU2585,-44.0308,-19.6046,11250.0,2019-01-07 00:50:51,i,279.9013,-3.5512,-4.3981,0.0037886671,35584.367,0.0,141.905,6294.186
7,190107-10182-AZU2585,-44.0511,-19.5514,12525.0,2019-01-07 00:51:31,i,277.2926,-4.8398,-4.5147,0.002885652,39616.953,0.0,150.703,6294.223
8,190107-10182-AZU2585,-44.0714,-19.4983,13800.0,2019-01-07 00:52:11,i,274.476,-6.1344,-4.4322,0.0023249214,43587.73,0.0,159.316,6294.259
9,190107-10182-AZU2585,-44.0917,-19.4451,15075.0,2019-01-07 00:52:51,i,271.8596,-6.849,-4.1882,0.0019004885,47661.406,0.0,167.092,6294.296
10,190107-10182-AZU2585,-44.112,-19.392,16350.0,2019-01-07 00:53:31,i,269.4155,-7.5895,-3.5585,0.0015767154,51659.945,0.0,174.492,6294.333
11,190107-10182-AZU2585,-44.1323,-19.3388,17625.0,2019-01-07 00:54:11,i,267.2281,-8.3527,-2.1647,0.0014300711,55697.363,0.0,181.148,8177.263
12,190107-10182-AZU2585,-44.1587,-19.2697,18900.0,2019-01-07 00:55:03,t,265.1812,-9.364,-1.5812,0.0012658281,59731.461,0.0,184.408,8589.55
13,190107-10182-AZU2585,-44.2181,-19.2166,19721.875,2019-01-07 00:55:43,i,263.9689,-10.2317,-1.6808,0.0011282129,62355.445,0.0,192.098,8589.6
14,190107-10182-AZU2585,-44.2775,-19.1636,20543.75,2019-01-07 00:56:23,i,262.7846,-11.0712,-1.7291,0.0010073892,64906.594,0.0,199.771,8589.649
15,190107-10182-AZU2585,-44.3368,-19.1105,21365.625,2019-01-07 00:57:03,i,261.2012,-12.166,-2.0648,0.0009102983,67549.469,0.0,207.474,8589.699
16,190107-10182-AZU2585,-44.3961,-19.0574,22187.5,2019-01-07 00:57:43,i,259.4662,-13.3874,-2.6021,0.0008175904,70196.43,0.0,207.024,8589.748
17,190107-10182-AZU2585,-44.4554,-19.0042,23009.375,2019-01-07 00:58:23,i,257.7897,-14.5838,-3.1768,0.0007259262,72768.734,0.0,206.628,8589.798
18,190107-10182-AZU2585,-44.5146,-18.9511,23831.25,2019-01-07 00:59:03,i,256.0443,-15.1387,-3.0112,0.0006188922,75351.797,0.0,206.134,8589.847
19,190107-10182-AZU2585,-44.5738,-18.8979,24653.125,2019-01-07 00:59:43,i,254.107,-14.593,-1.292,0.0004755375,78041.719,0.0,205.26,8589.896
20,190107-10182-AZU2585,-44.633,-18.8447,25475.0,2019-01-07 01:00:23,i,252.2554,-14.2137,0.3269,0.0003402341,80654.352,0.0,204.353,8589.945
21,190107-10182-AZU2585,-44.6921,-18.7915,26296.875,2019-01-07 01:01:03,i,250.4872,-13.9963,1.8381,0.0002157416,83191.852,0.0,203.42,8589.994
22,190107-10182-AZU2585,-44.7512,-18.7383,27118.75,2019-01-07 01:01:43,i,248.5581,-14.3936,3.2721,0.0001573544,85826.688,0.0,202.119,8590.043
23,190107-10182-AZU2585,-44.8102,-18.6851,27940.625,2019-01-07 01:02:23,i,246.504,-15.0192,4.6693,0.0001398052,88499.25,0.0,200.686,8590.091
24,190107-10182-AZU2585,-44.8692,-18.6318,28762.5,2019-01-07 01:03:03,i,244.4853,-15.4934,6.0391,0.0001239435,91093.656,0.0,199.421,8590.14
25,190107-10182-AZU2585,-44.9282,-18.5785,29584.375,2019-01-07 01:03:43,i,242.4993,-15.8172,7.3795,0.0001098437,93611.672,0.0,202.82,8590.188
26,190107-10182-AZU2585,-44.9871,-18.5252,30406.25,2019-01-07 01:04:23,i,240.5159,-16.5649,8.7327,0.0001064603,96198.828,0.0,205.913,8590.237
27,190107-10182-AZU2585,-45.046,-18.4719,31228.125,2019-01-07 01:05:03,i,238.5555,-18.0824,10.1701,0.0001156693,98908.172,0.0,208.382,12254.61
28,190107-10182-AZU2585,-45.1303,-18.3961,32050.0,2019-01-07 01:06:00,t,236.6644,-19.5729,11.6674,0.0001236439,101534.242,0.0,211.042,9873.167
29,190107-10182-AZU2585,-45.1961,-18.333,33025.0,2019-01-07 01:06:40,i,234.5172,-21.3976,13.4551,0.0001294106,104546.164,0.0,213.071,9873.232
30,190107-10182-AZU2585,-45.2617,-18.2698,34000.0,2019-01-07 01:07:20,i,232.4687,-23.2157,15.2702,0.0001329682,107448.484,0.0,215.094,9868.824
31,190107-10182-AZU2585,-45.3274,-18.2066,34000.0,2019-01-07 01:08:00,i,232.4822,-23.206,15.3977,0.0001323214,107445.562,0.0,220.309,9868.889
32,190107-10182-AZU2585,-45.393,-18.1435,34000.0,2019-01-07 01:08:40,i,232.4984,-23.1884,15.5257,0.0001318051,107442.82,0.0,220.993,9868.954
33,190107-10182-AZU2585,-45.4585,-18.0802,34000.0,2019-01-07 01:09:20,i,232.5179,-23.1633,15.6667,0.0001313955,107440.102,0.0,221.666,19250.231
34,190107-10182-AZU2585,-45.5863,-17.957,34000.0,2019-01-07 01:10:38,t,232.5564,-23.1058,15.8825,0.0001302972,107434.625,0.0,222.915,10082.187
35,190107-10182-AZU2585,-45.6473,-17.8873,34000.0,2019-01-07 01:11:18,i,232.5739,-23.0796,15.971,0.0001293927,107431.195,0.0,223.626,10082.259
36,190107-10182-AZU2585,-45.7083,-17.8177,34000.0,2019-01-07 01:11:58,i,232.5947,-23.0479,16.0834,0.0001286306,107428.406,0.0,224.322,10082.331
37,190107-10182-AZU2585,-45.7692,-17.748,34000.0,2019-01-07 01:12:38,i,232.6163,-23.0165,16.2031,0.0001279024,107425.875,0.0,225.002,10082.402
38,190107-10182-AZU2585,-45.8301,-17.6783,34000.0,2019-01-07 01:13:18,i,232.6265,-22.9728,16.2645,0.0001269685,107422.477,0.0,224.984,10082.474
39,190107-10182-AZU2585,-45.8909,-17.6086,34000.0,2019-01-07 01:13:58,i,232.6405,-22.9197,16.3436,0.0001260812,107419.453,0.0,224.969,10082.545
40,190107-10182-AZU2585,-45.9517,-17.5388,34000.0,2019-01-07 01:14:38,i,232.6583,-22.8576,16.44,0.0001252387,107416.797,0.0,224.804,10082.616
41,190107-10182-AZU2585,-46.0125,-17.4691,34000.0,2019-01-07 01:15:18,i,232.6733,-22.7896,16.5243,0.0001243662,107414.398,0.0,224.652,10082.686
42,190107-10182-AZU2585,-46.0731,-17.3993,34000.0,2019-01-07 01:15:58,i,232.6814,-22.7417,16.5746,0.0001233405,107412.125,0.0,224.507,16389.064
43,190107-10182-AZU2585,-46.1718,-17.2859,34000.0,2019-01-07 01:17:03,t,232.7048,-22.6494,16.6918,0.0001216687,107409.172,0.0,224.36,10045.971
44,190107-10182-AZU2585,-46.2321,-17.2163,34000.0,2019-01-07 01:17:43,i,232.7178,-22.5823,16.7657,0.0001206679,107407.57,0.0,223.282,10046.04
45,190107-10182-AZU2585,-46.2924,-17.1467,34000.0,2019-01-07 01:18:23,i,232.7258,-22.5321,16.8284,0.0001197358,107405.219,0.0,222.203,10046.109
46,190107-10182-AZU2585,-46.3527,-17.0771,34000.0,2019-01-07 01:19:03,i,232.7382,-22.4875,16.9029,0.0001188973,107402.82,0.0,221.097,16829.683
47,190107-10182-AZU2585,-46.4535,-16.9605,34000.0,2019-01-07 01:20:10,t,232.7591,-22.3941,17.0356,0.0001176066,107399.219,0.0,219.294,9790.735
48,190107-10182-AZU2585,-46.5257,-16.9059,32884.375,2019-01-07 01:20:50,i,235.0125,-20.1561,14.6807,0.0001237093,104067.992,0.0,221.579,9790.787
49,190107-10182-AZU2585,-46.5979,-16.8514,31768.75,2019-01-07 01:21:30,i,237.3566,-17.9004,12.1598,0.0001303374,100593.484,0.0,223.984,9790.839
50,190107-10182-AZU2585,-46.67,-16.7968,30653.125,2019-01-07 01:22:10,i,239.7903,-15.6199,9.4638,0.0001374883,96970.148,0.0,226.522,9790.891
51,190107-10182-AZU2585,-46.742,-16.7422,29537.5,2019-01-07 01:22:50,i,242.3805,-14.2862,7.3605,0.0001584863,93416.273,0.0,223.497,9790.942
52,190107-10182-AZU2585,-46.8141,-16.6876,28421.875,2019-01-07 01:23:30,i,245.1474,-13.9319,6.0217,0.0001986941,89966.43,0.0,219.234,9790.994
53,190107-10182-AZU2585,-46.8861,-16.6329,27306.25,2019-01-07 01:24:10,i,247.9977,-13.3664,4.6581,0.0002428251,86373.766,0.0,215.15,14941.137
54,190107-10182-AZU2585,-46.9958,-16.5496,25075.0,2019-01-07 01:25:11,t,253.2343,-12.0917,3.1919,0.0003465867,79318.672,0.0,212.099,8283.371
